,label,area,bbox_area,convex_area,equivalent_diameter,max_intensity,mean_intensity,min_intensity,solidity,extent,feret_diameter_max,local_centroid-0,local_centroid-1,local_centroid-2,standard_deviation_intensity,minor_axis_length,intermediate_axis_length,major_axis_length
0,1,51618,91988,54227,46.19562532839226,55624.0,14774.996532217443,3794.0,0.9518874361480444,0.5611384093577423,62.369864518050704,13.346061451431671,25.454105157115734,29.27678329264985,4678.177806672995,30.420865950104037,52.4769351422341,62.5233133386806
1,3,34814,71050,36858,40.51213217096908,34332.0,12350.550123513529,5074.0,0.9445439253350697,0.4899929627023223,56.621550667568265,13.037542368012868,24.189578905038204,24.91046705348423,2788.311293647655,29.663001549949495,39.37558937600514,58.02123800329829
2,5,47222,87464,50072,44.845126303813295,32910.0,13902.934225572826,4031.0,0.9430819619747564,0.5399021311625355,61.1310068623117,13.211384524162467,26.916712549235527,28.98642581847444,3591.128046704459,29.796469823972647,50.02032376007415,61.46018581507169
3,6,45618,88434,47621,44.3315115541176,47610.0,15616.647661011004,3367.0,0.957938724512295,0.5158423230884049,55.00909015790027,16.305515366741197,24.457187952124162,24.684335130869393,4913.1277214895645,32.70136630037436,50.511489059550506,53.05190128361216
4,7,37995,75764,40763,41.71023232334463,42394.0,13043.210001315963,3462.0,0.9320952824865687,0.5014914735230452,53.45091205957107,14.955178312935912,26.597025924463747,23.545808659034083,3298.1165088335233,30.86644258419665,44.960227165882145,52.889999809485985
5,10,39183,74448,41033,42.140500296019134,39406.0,13897.428195901284,4647.0,0.9549143372407575,0.5263136686009027,50.0199960015992,14.327820738585611,22.84735727228645,23.481331189546488,3366.1773899937625,32.71668634926626,47.054009234099006,48.87353606654285
